Date,Snowfall (inches)
3/12/21 7:00 PM,0
3/13/21 12:00 PM,0
3/13/21 12:30 PM,0.5
3/13/21 1:00 PM,0.25
3/13/21 1:40 PM,0.15
3/13/21 2:00 PM,0
3/13/21 3:46 PM,0
3/13/21 4:00 PM,0.25
3/13/21 5:00 PM,0.25
3/13/21 5:30 PM,0.5
3/13/21 5:45 PM,0.75
3/13/21 6:15 PM,0.75
3/13/21 6:45 PM,1
3/14/21 12:15 AM,1
3/14/21 2:00 AM,1.25
3/14/21 3:00 AM,1.5
3/14/21 4:30 AM,1.5
3/14/21 4:46 AM,1.75
3/14/21 5:00 AM,2
3/14/21 5:45 AM,2.5
3/14/21 6:10 AM,3
3/14/21 7:12 AM,3.5
3/14/21 7:58 AM,4
3/14/21 8:15 AM,4.5
3/14/21 8:56 AM,5
3/14/21 9:30 AM,5.5
3/14/21 9:45 AM,6
3/14/21 9:54 AM,6.5
3/14/21 10:02 AM,7
3/14/21 10:12 AM,7.5
3/14/21 10:20 AM,8
3/14/21 10:26 AM,8.5
3/14/21 10:32 AM,9
3/14/21 10:44 AM,9.5
3/14/21 11:02 AM,10
3/14/21 11:14 AM,10.5
3/14/21 11:20 AM,11
3/14/21 11:26 AM,11.5
3/14/21 11:36 AM,12
3/14/21 11:52 AM,12.5
3/14/21 12:02 PM,13
3/14/21 12:08 PM,13.5
3/14/21 12:20 PM,14
3/14/21 12:42 PM,14.5
3/14/21 12:58 PM,15
3/14/21 1:22 PM,15.5
3/14/21 3:00 PM,16
3/14/21 9:50 PM,21
